old sku,new sku
SE0924D,SE0924D
SE0924D-PT-GHVS-4.1,SE0924D-PT-GVS2-4.1
SE0924D-PT-GHVS-5.2,SE0924D-PT-GVS2-5.2
SE0924D-PT-GHVS-6.5,SE0924D-PT-GVS2-6.5
SE0924D-PT-GHVS-7.4,SE0924D-PT-GVS2-7.4
SE0924D-PT-HSI2-4.1,SE0924D-PT-HSI2-4.1
SE0924D-PT-HSI2-5.2,SE0924D-PT-HSI2-5.2
SE0924D-PT-HSI2-6.5,SE0924D-PT-HSI2-6.5
SE0924D-PT-HSI2-7.4,SE0924D-PT-HSI2-7.4
SE0924D-PT-II1-4.1,SE0924D-PT-IJI1I3-4.1
SE0924D-PT-II1-5.2,SE0924D-PT-IJI1I3-5.2
SE0924D-PT-II1-6.5,SE0924D-PT-IJI1I3-6.5
SE0924D-PT-II1-7.4,SE0924D-PT-IJI1I3-7.4
SE0924D-WG-GHVS-4.1,SE0924D-WG-GVS2-4.1
SE0924D-WG-GHVS-5.2,SE0924D-WG-GVS2-5.2
SE0924D-WG-GHVS-6.5,SE0924D-WG-GVS2-6.5
SE0924D-WG-GHVS-7.4,SE0924D-WG-GVS2-7.4
SE0924D-WG-HSI2-4.1,SE0924D-WG-HSI2-4.1
SE0924D-WG-HSI2-5.2,SE0924D-WG-HSI2-5.2
SE0924D-WG-HSI2-6.5,SE0924D-WG-HSI2-6.5
SE0924D-WG-HSI2-7.4,SE0924D-WG-HSI2-7.4
SE0924D-WG-II1-4.1,SE0924D-WG-IJI1I3-4.1
SE0924D-WG-II1-5.2,SE0924D-WG-IJI1I3-5.2
SE0924D-WG-II1-6.5,SE0924D-WG-IJI1I3-6.5
SE0924D-WG-II1-7.4,SE0924D-WG-IJI1I3-7.4
SE0924D-YG-GHVS-4.1,SE0924D-YG-GVS2-4.1
SE0924D-YG-GHVS-5.2,SE0924D-YG-GVS2-5.2
SE0924D-YG-GHVS-6.5,SE0924D-YG-GVS2-6.5
SE0924D-YG-GHVS-7.4,SE0924D-YG-GVS2-7.4
SE0924D-YG-HSI2-4.1,SE0924D-YG-HSI2-4.1
SE0924D-YG-HSI2-5.2,SE0924D-YG-HSI2-5.2
SE0924D-YG-HSI2-6.5,SE0924D-YG-HSI2-6.5
SE0924D-YG-HSI2-7.4,SE0924D-YG-HSI2-7.4
SE0924D-YG-II1-4.1,SE0924D-YG-IJI1I3-4.1
SE0924D-YG-II1-5.2,SE0924D-YG-IJI1I3-5.2
SE0924D-YG-II1-6.5,SE0924D-YG-IJI1I3-6.5
SE0924D-YG-II1-7.4,SE0924D-YG-IJI1I3-7.4
SE0925D,SE0925D
SE0925D-PT-GHVS-1.2,SE0925D-PT-GVS2-1.2
SE0925D-PT-HSI2-1.2,SE0925D-PT-HSI2-1.2
SE0925D-PT-II1-1.2,SE0925D-PT-IJI1I3-1.2
SE0925D-WG-GHVS-1.2,SE0925D-WG-GVS2-1.2
SE0925D-WG-HSI2-1.2,SE0925D-WG-HSI2-1.2
SE0925D-WG-II1-1.2,SE0925D-WG-IJI1I3-1.2
SE0925D-YG-GHVS-1.2,SE0925D-YG-GVS2-1.2
SE0925D-YG-HSI2-1.2,SE0925D-YG-HSI2-1.2
SE0925D-YG-II1-1.2,SE0925D-YG-IJI1I3-1.2
