" Generate a list of the URLs and store it on the disk. This action will be executed if Automatic cache management is enabled."," Generate a list of the URLs and store it on the disk. This action will be executed if Automatic cache management is enabled."
"'Mage_Core_Model_Layout' was not patched. It is required for dynamic loaded blocks. Please see to 'Dynamic loaded blocks'. Exception %s","'Mage_Core_Model_Layout' was not patched. It is required for dynamic loaded blocks. Please see to 'Dynamic loaded blocks'. Exception %s"
"'Mage_Core_Model_Layout' was not patched. It is required for dynamic loaded blocks. Please see to 'Dynamic loaded blocks'.","'Mage_Core_Model_Layout' was not patched. It is required for dynamic loaded blocks. Please see to 'Dynamic loaded blocks'."
"(hours : minutes)","(hours : minutes)"
"Actions","Actions"
"Add newly created categories to select","Add newly created categories to select"
"Added newly cms to select","Added newly cms to select"
"All pages was succesfully removed","All pages was succesfully removed"
"Apply Layout Patch","Apply Layout Patch"
"Apply Mage Patch","Apply Mage Patch"
"Apply the patch only just in case you need to use Direct Access download method!","Apply the patch only just in case you need to use Direct Access download method!"
"Are you sure?","Are you sure?"
"Automatic cache management","Automatic cache management"
"Base directory","Base directory"
"Block","Block"
"Blocked page can't refresh","Blocked page can't refresh"
"Blocked","Blocked"
"CMS page","CMS page"
"CMS","CMS"
"CURL is not installed","CURL is not installed"
"Cache Path","Cache Path"
"Cache actions","Cache actions"
"Cache all pages","Cache all pages"
"Cache selected pages","Cache selected pages"
"Cache","Cache"
"Cached","Cached"
"Cannot read Layout.php file","Cannot read Layout.php file"
"Cannot read Mage.php file","Cannot read Mage.php file"
"Cannot read patch file","Cannot read patch file"
"Cart Block (sidebar)","Cart Block (sidebar)"
"Categories","Categories"
"Category view","Category view"
"Clearing turbocache directory error","Clearing turbocache directory error"
"Company","Company"
"Compare Block (sidebar)","Compare Block (sidebar)"
"Configuration error","Configuration error"
"Configuration was successfully saved","Configuration was successfully saved"
"Connection to server could not be established.","Connection to server could not be established."
"Copying js file failed! Dynamic blocks won't work for this theme. Copy 'mturbo.js' from default theme, please!","Copying js file failed! Dynamic blocks won't work for this theme. Copy 'mturbo.js' from default theme, please!"
